"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"16.02.2024","3.128,00","3.148,50","3.178,00","3.095,00","601,47K","-0,40%"
"15.02.2024","3.140,50","3.090,00","3.179,00","3.051,00","942,76K","1,77%"
"14.02.2024","3.086,00","3.154,00","3.199,00","3.060,00","1,58M","-2,17%"
"13.02.2024","3.154,50","2.996,00","3.157,00","2.982,00","1,94M","5,34%"
"12.02.2024","2.994,50","2.867,50","2.996,50","2.847,50","1,06M","5,55%"
"09.02.2024","2.837,00","2.814,00","2.866,50","2.780,00","265,45K","0,80%"
"08.02.2024","2.814,50","2.879,00","2.889,00","2.803,50","342,04K","-2,19%"
"07.02.2024","2.877,50","2.862,00","2.891,00","2.852,00","228,27K","0,33%"
"06.02.2024","2.868,00","2.896,00","2.899,00","2.861,50","156,28K","-0,66%"
"05.02.2024","2.887,00","2.875,00","2.926,50","2.800,50","373,62K","0,30%"
"02.02.2024","2.878,50","2.899,50","2.914,00","2.863,00","164,85K","-0,71%"
"01.02.2024","2.899,00","2.917,00","2.941,00","2.892,50","256,40K","-0,36%"
"31.01.2024","2.909,50","2.920,00","2.932,50","2.881,50","357,71K","-0,07%"
"30.01.2024","2.911,50","2.879,50","2.930,00","2.831,00","657,50K","0,88%"
"29.01.2024","2.886,00","2.849,50","2.896,50","2.849,00","354,51K","1,76%"
"26.01.2024","2.836,00","2.807,50","2.859,00","2.791,50","505,07K","1,83%"
"25.01.2024","2.785,00","2.794,00","2.809,00","2.736,00","340,74K","-0,30%"
"24.01.2024","2.793,50","2.796,50","2.832,00","2.751,00","337,71K","-0,04%"
"23.01.2024","2.794,50","2.858,00","2.875,00","2.779,50","457,26K","-1,84%"
"22.01.2024","2.847,00","2.830,00","2.874,00","2.823,50","293,29K","0,69%"
"19.01.2024","2.827,50","2.827,00","2.867,50","2.802,00","345,49K","-0,05%"
"18.01.2024","2.829,00","2.922,00","2.924,00","2.822,50","422,61K","-3,02%"
