"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"15.02.2024","3.057,00","3.101,00","3.117,50","3.011,50","428,52K","-1,48%"
"14.02.2024","3.103,00","3.109,50","3.150,00","3.075,00","417,47K","-0,21%"
"13.02.2024","3.109,50","3.063,00","3.124,00","3.021,00","407,17K","1,75%"
"12.02.2024","3.056,00","3.070,00","3.105,00","2.980,00","940,56K","-0,33%"
"09.02.2024","3.066,00","3.145,00","3.145,50","3.060,00","472,76K","-2,51%"
"08.02.2024","3.145,00","3.279,50","3.298,00","3.056,00","1,26M","-4,04%"
"07.02.2024","3.277,50","3.199,50","3.279,00","3.186,00","445,07K","2,58%"
"06.02.2024","3.195,00","3.180,00","3.207,00","3.177,00","181,75K","0,63%"
"05.02.2024","3.175,00","3.157,50","3.186,00","3.131,00","234,93K","0,55%"
"02.02.2024","3.157,50","3.186,50","3.192,00","3.147,50","160,01K","-0,88%"
"01.02.2024","3.185,50","3.180,00","3.209,00","3.170,00","240,20K","0,08%"
"31.01.2024","3.183,00","3.219,50","3.248,00","3.176,00","438,00K","-1,13%"
"30.01.2024","3.219,50","3.170,50","3.225,00","3.133,00","607,69K","1,82%"
"29.01.2024","3.162,00","3.100,00","3.164,00","3.094,50","486,29K","2,23%"
"26.01.2024","3.093,00","3.076,50","3.104,50","3.060,00","453,11K","0,77%"
"25.01.2024","3.069,50","3.096,50","3.099,00","3.011,00","575,86K","-0,24%"
"24.01.2024","3.077,00","3.110,00","3.119,00","3.065,00","271,31K","-0,98%"
"23.01.2024","3.107,50","3.140,00","3.142,00","3.090,00","365,31K","-0,81%"
"22.01.2024","3.133,00","3.108,50","3.133,50","3.062,50","381,98K","0,79%"
"19.01.2024","3.108,50","3.148,00","3.157,00","3.076,00","545,21K","-1,25%"
"18.01.2024","3.148,00","3.180,00","3.218,00","3.139,00","486,46K","-1,13%"
"17.01.2024","3.184,00","3.271,00","3.273,00","3.153,50","868,05K","-2,66%"
"16.01.2024","3.271,00","3.441,00","3.441,00","3.219,00","1,23M","-4,52%"
"15.01.2024","3.426,00","3.373,00","3.443,50","3.340,50","589,99K","2,10%"
"12.01.2024","3.355,50","3.277,00","3.363,00","3.254,00","404,95K","2,36%"
"11.01.2024","3.278,00","3.301,00","3.306,50","3.221,50","287,08K","-0,47%"
"10.01.2024","3.293,50","3.305,00","3.329,50","3.290,00","181,93K","-0,03%"
"09.01.2024","3.294,50","3.262,00","3.317,00","3.221,50","303,49K","1,37%"
"08.01.2024","3.250,00","3.242,00","3.289,00","3.237,50","175,26K","0,43%"
"05.01.2024","3.236,00","3.270,00","3.270,00","3.206,50","119,79K","-0,77%"
"04.01.2024","3.261,00","3.287,00","3.292,00","3.251,00","149,10K","-0,73%"
"03.01.2024","3.285,00","3.230,00","3.293,50","3.210,50","195,12K","2,32%"
"29.12.2023","3.210,50","3.202,00","3.237,00","3.185,50","201,96K","-0,03%"
"28.12.2023","3.211,50","3.195,50","3.218,00","3.115,00","414,23K","0,90%"
"27.12.2023","3.183,00","3.088,00","3.187,50","3.085,00","464,58K","3,19%"
"26.12.2023","3.084,50","3.099,00","3.099,50","3.062,00","235,85K","0,00%"
"25.12.2023","3.084,50","3.032,00","3.096,00","3.032,00","513,08K","1,73%"
"22.12.2023","3.032,00","3.007,00","3.039,00","3.007,00","157,66K","0,86%"
"21.12.2023","3.006,00","3.048,00","3.053,50","2.987,00","244,21K","-1,44%"
"20.12.2023","3.050,00","3.073,50","3.086,00","3.033,00","247,97K","-0,76%"
"19.12.2023","3.073,50","3.020,00","3.114,50","3.009,00","355,15K","1,77%"
"18.12.2023","3.020,00","3.009,50","3.048,50","2.977,00","608,20K","0,70%"
"15.12.2023","2.999,00","2.990,00","3.026,00","2.930,00","508,10K","0,30%"
"14.12.2023","2.990,00","3.040,00","3.087,00","2.974,00","510,38K","-0,88%"
"13.12.2023","3.016,50","3.009,00","3.085,50","2.981,50","228,78K","-0,64%"
"12.12.2023","3.036,00","2.932,00","3.097,50","2.900,50","549,86K","3,41%"
"11.12.2023","2.936,00","3.106,00","3.111,50","2.912,00","453,67K","-5,46%"
"08.12.2023","3.105,50","3.110,00","3.144,00","3.083,50","193,38K","-0,10%"
"07.12.2023","3.108,50","3.078,00","3.128,50","3.070,00","273,74K","0,96%"
"06.12.2023","3.079,00","3.234,00","3.234,00","3.055,00","456,03K","-4,45%"
"05.12.2023","3.222,50","3.255,00","3.275,00","3.170,50","380,60K","-0,65%"
"04.12.2023","3.243,50","3.298,00","3.298,00","3.227,50","318,16K","-1,68%"
"01.12.2023","3.299,00","3.345,00","3.367,50","3.290,50","200,48K","-1,35%"
"30.11.2023","3.344,00","3.417,00","3.421,00","3.305,50","375,48K","-2,11%"
"29.11.2023","3.416,00","3.435,00","3.470,00","3.410,50","164,34K","-0,41%"
"28.11.2023","3.430,00","3.440,00","3.454,00","3.390,50","195,39K","-0,07%"
"27.11.2023","3.432,50","3.473,00","3.497,50","3.415,00","246,59K","-1,05%"
"24.11.2023","3.469,00","3.464,50","3.486,50","3.434,00","213,94K","0,13%"
"23.11.2023","3.464,50","3.543,00","3.546,00","3.450,00","312,51K","-1,86%"
"22.11.2023","3.530,00","3.511,00","3.569,00","3.503,00","731,60K","0,74%"
"21.11.2023","3.504,00","3.472,00","3.539,00","3.455,00","814,69K","1,13%"
"20.11.2023","3.465,00","3.425,00","3.488,50","3.408,00","707,66K","1,70%"
"17.11.2023","3.407,00","3.393,50","3.444,00","3.368,00","365,74K","0,35%"
"16.11.2023","3.395,00","3.420,50","3.454,50","3.390,00","198,22K","-0,66%"
"15.11.2023","3.417,50","3.422,00","3.448,00","3.367,50","230,07K","-0,12%"
"14.11.2023","3.421,50","3.490,00","3.490,00","3.407,00","219,16K","-1,74%"
"13.11.2023","3.482,00","3.471,00","3.495,00","3.436,00","311,06K","0,03%"
"10.11.2023","3.481,00","3.530,00","3.608,00","3.476,00","545,50K","-1,07%"
"09.11.2023","3.518,50","3.544,00","3.555,00","3.505,00","272,32K","-0,71%"
"08.11.2023","3.543,50","3.525,00","3.571,00","3.513,50","441,68K","0,71%"
"07.11.2023","3.518,50","3.435,00","3.529,00","3.430,50","396,41K","2,45%"
"06.11.2023","3.434,50","3.416,00","3.441,50","3.415,50","103,15K","0,51%"
"03.11.2023","3.417,00","3.430,00","3.444,50","3.401,50","160,73K","-0,22%"
"02.11.2023","3.424,50","3.468,50","3.477,00","3.420,00","208,87K","-0,61%"
"01.11.2023","3.445,50","3.410,50","3.498,50","3.390,00","286,38K","0,86%"
"31.10.2023","3.416,00","3.392,00","3.428,50","3.352,00","226,52K","0,74%"
"30.10.2023","3.391,00","3.428,50","3.460,00","3.374,00","200,52K","-1,01%"
"27.10.2023","3.425,50","3.450,00","3.468,00","3.401,00","314,29K","-0,68%"
"26.10.2023","3.449,00","3.498,00","3.509,00","3.441,00","264,07K","-1,39%"
"25.10.2023","3.497,50","3.490,00","3.520,00","3.471,50","273,39K","0,42%"
"24.10.2023","3.483,00","3.481,00","3.505,00","3.452,50","243,96K","0,07%"
"23.10.2023","3.480,50","3.505,00","3.520,00","3.462,00","232,17K","-0,43%"
"20.10.2023","3.495,50","3.538,50","3.541,50","3.471,00","359,40K","-1,08%"
"19.10.2023","3.533,50","3.472,00","3.550,00","3.462,00","486,92K","1,77%"
"18.10.2023","3.472,00","3.521,00","3.527,50","3.437,00","413,37K","-1,20%"
"17.10.2023","3.514,00","3.510,00","3.535,00","3.486,00","381,49K","0,13%"
"16.10.2023","3.509,50","3.498,00","3.520,00","3.452,00","508,24K","0,99%"
"13.10.2023","3.475,00","3.408,00","3.503,50","3.395,00","761,01K","2,48%"
"12.10.2023","3.391,00","3.315,00","3.431,50","3.301,00","328,44K","1,97%"
"11.10.2023","3.325,50","3.395,00","3.418,50","3.307,00","455,78K","-1,90%"
"10.10.2023","3.390,00","3.353,00","3.408,00","3.335,00","322,82K","1,10%"
"09.10.2023","3.353,00","3.348,00","3.380,00","3.327,00","432,76K","0,89%"
"06.10.2023","3.323,50","3.289,00","3.345,00","3.265,00","443,89K","1,31%"
"05.10.2023","3.280,50","3.291,00","3.306,00","3.269,50","384,73K","0,08%"
"04.10.2023","3.278,00","3.267,50","3.311,50","3.264,00","475,44K","0,32%"
"03.10.2023","3.267,50","3.255,00","3.297,00","3.201,00","432,94K","0,38%"
"02.10.2023","3.255,00","3.260,00","3.280,00","3.240,00","313,75K","-0,11%"
"29.09.2023","3.258,50","3.306,00","3.309,00","3.231,50","503,52K","-1,18%"
"28.09.2023","3.297,50","3.290,00","3.327,00","3.264,50","391,52K","0,30%"
"27.09.2023","3.287,50","3.289,00","3.335,00","3.261,50","494,51K","0,61%"
"26.09.2023","3.267,50","3.267,50","3.316,50","3.222,00","278,08K","-0,18%"
"25.09.2023","3.273,50","3.310,00","3.318,50","3.234,50","259,61K","-1,18%"
"22.09.2023","3.312,50","3.268,50","3.323,50","3.225,00","301,68K","1,61%"
"21.09.2023","3.260,00","3.364,00","3.394,00","3.251,00","358,59K","-3,09%"
"20.09.2023","3.364,00","3.348,50","3.380,00","3.241,00","550,31K","0,27%"
"19.09.2023","3.355,00","3.505,00","3.505,00","3.337,00","535,33K","-3,98%"
"18.09.2023","3.494,00","3.535,00","3.576,00","3.485,50","334,28K","-0,94%"
"15.09.2023","3.527,00","3.468,00","3.545,00","3.463,00","450,75K","1,86%"
"14.09.2023","3.462,50","3.529,00","3.532,50","3.406,00","447,77K","-1,66%"
"13.09.2023","3.521,00","3.596,00","3.609,50","3.502,50","318,41K","-2,04%"
"12.09.2023","3.594,50","3.475,00","3.613,50","3.470,50","427,29K","4,10%"
"11.09.2023","3.453,00","3.504,00","3.557,00","3.441,00","376,66K","-1,15%"
"08.09.2023","3.493,00","3.545,00","3.566,50","3.456,50","420,46K","-1,31%"
"07.09.2023","3.539,50","3.652,50","3.660,00","3.503,00","758,59K","-2,88%"
"06.09.2023","3.644,50","3.741,00","3.741,00","3.622,00","648,70K","-2,58%"
"05.09.2023","3.741,00","3.758,50","3.809,50","3.705,00","762,95K","-0,56%"
"04.09.2023","3.762,00","3.650,00","3.780,00","3.644,00","807,73K","3,37%"
"01.09.2023","3.639,50","3.672,00","3.678,00","3.612,50","367,89K","-0,84%"
"31.08.2023","3.670,50","3.556,50","3.677,00","3.547,00","855,93K","3,26%"
"30.08.2023","3.554,50","3.577,50","3.583,00","3.522,50","296,71K","-0,39%"
